Account ID,Current Season Ticket Holder?,Has 2021 Season Tickets,Had 2019 Season Tickets,Had 2018 Season Tickets,Had 2017 Season Tickets
TWN1134475,Yes,1,0,0,0
TWN1135470,NO,0,0,0,1
TWN1135643,NO,0,0,1,0
TWN1136412,Yes,1,0,0,0
TWN1137068,NO,0,0,1,0
TWN1137346,Yes,1,1,1,1
TWN1138482,Yes,1,0,0,0
TWN1139099,NO,0,0,1,0
TWN1141870,Yes,1,0,0,0
TWN1142345,NO,0,0,1,1
TWN1145911,Yes,1,0,0,0
TWN1146634,Yes,1,1,1,1
TWN1148956,NO,0,0,0,1
TWN1149,Yes,1,1,1,1
TWN1150790,Yes,1,1,1,1
TWN1151447,NO,0,1,0,0
TWN1152797,NO,0,1,1,0
TWN1154074,Yes,1,0,0,0
TWN1155625,NO,0,0,0,1
TWN1155854,NO,0,0,1,1
TWN1160547,Yes,1,1,1,1
TWN1162,NO,0,1,0,0
TWN1162715,NO,0,0,1,1
TWN1163,Yes,1,1,1,1
TWN1164049,Yes,1,1,1,1
TWN1165348,Yes,1,0,0,0
TWN1165731,NO,0,0,0,0
TWN1168256,NO,0,0,1,1
TWN1168811,NO,0,0,0,0
TWN1168848,NO,0,0,0,0
TWN1170120,NO,0,0,0,0
TWN1171233,Yes,1,0,0,0
TWN1171523,Yes,1,0,0,0
TWN1171550,NO,0,0,1,0
TWN1174102,Yes,1,0,0,0
TWN117490,NO,0,0,0,1
TWN1175120,NO,0,0,0,0
TWN1179055,NO,0,0,1,1
TWN1186026,Yes,1,1,1,1
TWN1187827,NO,0,1,0,0
TWN1187837,NO,0,1,0,0
TWN1187855,Yes,1,1,1,1
TWN1187913,NO,0,0,0,1
TWN1187940,NO,0,0,0,0
TWN1187945,Yes,1,0,0,0
TWN1188050,NO,0,0,1,1
TWN1188143,Yes,1,1,1,1
TWN1188205,NO,0,1,1,1
TWN1188241,NO,0,0,0,0
TWN1188254,Yes,1,0,0,0
TWN1188323,Yes,1,1,1,1
TWN1188328,Yes,1,1,0,0
TWN1188384,NO,0,1,0,0
TWN1188444,NO,0,0,0,1
TWN1188457,NO,0,0,0,1
TWN1188475,NO,0,0,0,0
TWN1189179,NO,0,0,0,0
TWN1189180,NO,0,0,0,0
TWN1189195,NO,0,0,1,1
TWN1189217,Yes,1,1,1,1
TWN1189234,Yes,1,1,1,1
TWN1189303,Yes,1,1,1,1
TWN1189432,NO,0,0,0,0
TWN1189522,NO,0,0,0,0
TWN1189530,Yes,1,1,1,1
TWN1189532,NO,0,0,0,0
TWN1189561,NO,0,1,0,0
TWN1189568,NO,0,1,0,0
TWN1189583,Yes,1,1,1,1
TWN1189587,NO,0,0,1,1
TWN1189606,NO,0,1,0,0
TWN1189621,NO,0,0,0,0
TWN1189637,Yes,1,0,0,0
TWN1189652,NO,0,0,1,1
TWN1189662,NO,0,0,0,1
TWN1189684,NO,0,0,0,0
TWN1189923,Yes,1,1,1,1
TWN1189931,Yes,1,1,0,0
TWN1189956,NO,0,0,0,0
TWN1189962,NO,0,0,0,0
TWN1190048,NO,0,1,1,0
TWN1190059,NO,0,1,1,1
TWN1190200,Yes,1,0,0,0
TWN1190222,NO,0,0,1,1
TWN1190613,NO,0,1,0,0
TWN1190651,Yes,1,1,0,0
TWN1190658,NO,0,0,0,0
TWN1190680,NO,0,0,1,0
TWN1190742,NO,0,0,0,0
TWN1190841,NO,0,0,0,0
TWN1190872,Yes,1,1,1,1
TWN1190952,Yes,1,1,1,1
TWN1191171,NO,0,0,0,0
TWN1191196,Yes,1,1,1,1
TWN1191655,NO,0,0,0,1
TWN1191715,Yes,1,1,1,1
TWN1191746,NO,0,0,1,0
TWN1191801,Yes,1,1,1,1
TWN1191824,NO,0,0,0,1
TWN1191825,NO,0,1,0,0
TWN1191908,Yes,1,1,1,1
TWN1191917,NO,0,0,1,1
TWN1191949,NO,0,0,0,0
TWN1194047,NO,0,0,0,0
TWN1194065,Yes,1,0,0,0
TWN1194071,NO,0,0,0,0
TWN1194083,Yes,1,0,0,0
TWN1194091,NO,0,0,1,1
TWN1194103,Yes,1,1,1,1
TWN1194107,Yes,1,1,1,1
TWN1194112,NO,0,0,0,0
TWN1194183,Yes,1,1,1,1
TWN1194189,NO,0,0,0,1
TWN1194230,Yes,1,0,0,0
TWN1194271,NO,0,0,0,0
TWN1194277,Yes,1,1,1,1
TWN1194279,Yes,1,1,1,1
TWN1194289,Yes,1,1,1,1
TWN1194675,Yes,1,0,0,0
TWN1194696,NO,0,1,1,1
TWN1194705,Yes,1,0,0,0
TWN1194734,NO,0,0,0,0
TWN1194745,NO,0,1,1,0
TWN1195790,NO,0,0,0,0
TWN1196316,NO,0,0,1,1
TWN1196331,NO,0,0,0,0
TWN1196343,NO,0,1,1,0
TWN1196433,NO,0,1,0,0
TWN1196464,Yes,1,0,0,0
TWN1196487,Yes,1,1,1,1
TWN1196493,Yes,1,1,1,1
TWN1196520,NO,0,1,1,0
TWN1196545,Yes,1,1,1,1
TWN1196566,Yes,1,0,0,0
TWN1197216,NO,0,0,0,1
TWN1197218,NO,0,1,0,0
TWN1197295,NO,0,0,0,0
TWN1197857,NO,0,0,0,0
TWN1197930,NO,0,0,0,0
TWN1197931,NO,0,1,0,0
TWN1197955,Yes,1,0,0,0
TWN1198191,NO,0,0,0,1
TWN1198292,Yes,1,0,0,0
TWN1198307,NO,0,0,0,1
TWN1198463,NO,0,0,0,0
TWN1198836,NO,0,1,0,0
TWN1198840,NO,0,0,0,0
TWN1198843,NO,0,1,0,0
TWN1198850,NO,0,0,0,0
TWN1198855,NO,0,0,1,1
TWN1198861,NO,0,0,0,1
TWN1198866,Yes,1,0,0,0
TWN1198955,NO,0,1,1,0
TWN1199021,NO,0,0,0,0
TWN1199733,NO,0,0,0,1
TWN1199742,NO,0,0,0,0
TWN1199753,Yes,1,1,1,1
TWN1199830,NO,0,0,0,1
TWN1200084,Yes,1,1,1,1
TWN1200103,NO,0,0,0,0
TWN1200185,NO,0,0,0,0
TWN1200187,Yes,1,0,0,0
TWN1200698,NO,0,0,1,1
TWN1200882,Yes,1,1,0,0
TWN1200992,Yes,1,0,0,0
TWN1201050,NO,0,1,0,0
TWN1201067,NO,0,0,0,0
TWN1201103,Yes,1,1,0,0
TWN1201105,NO,0,1,0,0
TWN1201112,NO,0,1,0,0
TWN1201137,Yes,1,1,1,1
TWN1201138,NO,0,0,1,1
TWN1201154,Yes,1,1,1,1
TWN1201215,Yes,1,0,0,0
TWN1201217,NO,0,0,0,1
TWN1201224,Yes,1,1,0,0
TWN1201269,Yes,1,0,0,0
TWN1201273,Yes,1,1,1,1
TWN1201292,Yes,1,1,0,0
TWN1201304,NO,0,0,0,0
TWN1201360,Yes,1,0,0,0
TWN1201393,NO,0,0,0,0
TWN1201394,NO,0,1,0,0
TWN1201406,NO,0,1,1,0
TWN1201413,NO,0,0,1,1
TWN1201430,NO,0,1,1,0
TWN1201435,NO,0,0,1,1
TWN1201439,Yes,1,0,0,0
TWN1201470,NO,0,0,0,0
TWN1201484,Yes,1,0,0,0
TWN1201485,NO,0,1,0,0
TWN1201517,NO,0,1,1,0
TWN1201553,Yes,1,0,0,0
TWN1201556,Yes,1,1,1,1
TWN1201572,Yes,1,1,1,1
TWN1201589,Yes,1,0,0,0
TWN1201610,Yes,1,1,1,1
TWN1201613,Yes,1,1,1,1
TWN1201620,Yes,1,1,1,1
TWN1201632,NO,0,1,0,0
TWN1201636,NO,0,0,0,1
TWN1201656,Yes,1,0,0,0
TWN1201668,Yes,1,1,1,1
TWN1201730,Yes,1,1,1,1
TWN1201743,Yes,1,0,0,0
TWN1201745,Yes,1,1,1,1
TWN1201755,NO,0,0,1,0
TWN1201757,NO,0,0,0,0
TWN1201765,NO,0,0,0,0
TWN1201775,NO,0,0,1,1
TWN1201776,Yes,1,1,1,1
TWN1201801,NO,0,0,0,0
TWN1201803,NO,0,1,1,0
TWN1201806,NO,0,1,1,0
TWN1201813,NO,0,0,1,1
TWN1201862,NO,0,0,1,0
TWN1201894,NO,0,0,1,1
TWN1201927,NO,0,1,0,0
TWN1201930,NO,0,0,0,0
TWN1201935,NO,0,1,0,0
TWN1201938,NO,0,0,1,1
TWN1201943,NO,0,1,0,0
TWN1201946,Yes,1,0,0,0
TWN1201962,NO,0,0,1,0
TWN1201968,NO,0,0,1,1
TWN1201975,NO,0,0,1,0
TWN1201994,Yes,1,1,1,1
TWN1201997,NO,0,1,0,0
TWN1202000,NO,0,1,0,0
TWN1202008,NO,0,0,0,0
TWN1202010,NO,0,1,0,0
TWN1202016,NO,0,0,0,0
TWN1202029,Yes,1,1,0,0
TWN1223,NO,0,0,1,0
TWN1234,NO,0,0,0,1
TWN1251,NO,0,0,0,0
TWN1272,NO,0,1,0,0
TWN1279,NO,0,0,1,0
TWN127952,Yes,1,1,1,1
